Causas (lista reducida);Sexo;Nacionalidad;Total
001 Enfermedades infecciosas intestinales;Hombres;Total de defunciones;342
001 Enfermedades infecciosas intestinales;Hombres;PAÍSES DE EUROPA;339
001 Enfermedades infecciosas intestinales;Hombres;Países de la UE-27;338
001 Enfermedades infecciosas intestinales;Hombres;Alemania;1
001 Enfermedades infecciosas intestinales;Hombres;Austria;0
001 Enfermedades infecciosas intestinales;Hombres;Bélgica;0
001 Enfermedades infecciosas intestinales;Hombres;Bulgaría;0
001 Enfermedades infecciosas intestinales;Hombres;Dinamarca;0
001 Enfermedades infecciosas intestinales;Hombres;España;330
001 Enfermedades infecciosas intestinales;Hombres;Finlandia;0
001 Enfermedades infecciosas intestinales;Hombres;Francia;1
001 Enfermedades infecciosas intestinales;Hombres;Irlanda;0
001 Enfermedades infecciosas intestinales;Hombres;Italia;1
001 Enfermedades infecciosas intestinales;Hombres;Países Bajos;0
001 Enfermedades infecciosas intestinales;Hombres;Polonia;0
001 Enfermedades infecciosas intestinales;Hombres;Portugal;0
001 Enfermedades infecciosas intestinales;Hombres;Reino Unido;4
001 Enfermedades infecciosas intestinales;Hombres;Rumanía;0
001 Enfermedades infecciosas intestinales;Hombres;Suecia;0
001 Enfermedades infecciosas intestinales;Hombres;Resto de la UE-27;1
001 Enfermedades infecciosas intestinales;Hombres;Noruega;1
001 Enfermedades infecciosas intestinales;Hombres;Rusia;0
001 Enfermedades infecciosas intestinales;Hombres;Suiza;0
001 Enfermedades infecciosas intestinales;Hombres;Ucrania;0
001 Enfermedades infecciosas intestinales;Hombres;Resto de EUROPA;0
001 Enfermedades infecciosas intestinales;Hombres;PAÍSES DE ÁFRICA;1
001 Enfermedades infecciosas intestinales;Hombres;Argelia;0
001 Enfermedades infecciosas intestinales;Hombres;Marruecos;1
001 Enfermedades infecciosas intestinales;Hombres;Resto de ÁFRICA;0
001 Enfermedades infecciosas intestinales;Hombres;PAÍSES DE AMÉRICA;2
001 Enfermedades infecciosas intestinales;Hombres;Argentina;0
001 Enfermedades infecciosas intestinales;Hombres;Bolivia;1
001 Enfermedades infecciosas intestinales;Hombres;Brasil;0
001 Enfermedades infecciosas intestinales;Hombres;Colombia;0
001 Enfermedades infecciosas intestinales;Hombres;Cuba;0
001 Enfermedades infecciosas intestinales;Hombres;Ecuador;0
001 Enfermedades infecciosas intestinales;Hombres;Estados Unidos de América;1
001 Enfermedades infecciosas intestinales;Hombres;Perú;0
001 Enfermedades infecciosas intestinales;Hombres;Uruguay;0
001 Enfermedades infecciosas intestinales;Hombres;Resto de AMÉRICA;0
001 Enfermedades infecciosas intestinales;Hombres;PAÍSES DE ASIA;0
001 Enfermedades infecciosas intestinales;Hombres;China;0
001 Enfermedades infecciosas intestinales;Hombres;Resto de ASIA;0
001 Enfermedades infecciosas intestinales;Hombres;Resto de PAÍSES;0
001 Enfermedades infecciosas intestinales;Hombres;No consta;0
001 Enfermedades infecciosas intestinales;Mujeres;Total de defunciones;604
001 Enfermedades infecciosas intestinales;Mujeres;PAÍSES DE EUROPA;603
001 Enfermedades infecciosas intestinales;Mujeres;Países de la UE-27;603
001 Enfermedades infecciosas intestinales;Mujeres;Alemania;0
001 Enfermedades infecciosas intestinales;Mujeres;Austria;0
001 Enfermedades infecciosas intestinales;Mujeres;Bélgica;1
001 Enfermedades infecciosas intestinales;Mujeres;Bulgaría;0
001 Enfermedades infecciosas intestinales;Mujeres;Dinamarca;0
001 Enfermedades infecciosas intestinales;Mujeres;España;593
001 Enfermedades infecciosas intestinales;Mujeres;Finlandia;0
001 Enfermedades infecciosas intestinales;Mujeres;Francia;2
001 Enfermedades infecciosas intestinales;Mujeres;Irlanda;0
001 Enfermedades infecciosas intestinales;Mujeres;Italia;0
001 Enfermedades infecciosas intestinales;Mujeres;Países Bajos;0
001 Enfermedades infecciosas intestinales;Mujeres;Polonia;0
001 Enfermedades infecciosas intestinales;Mujeres;Portugal;1
001 Enfermedades infecciosas intestinales;Mujeres;Reino Unido;6
001 Enfermedades infecciosas intestinales;Mujeres;Rumanía;0
001 Enfermedades infecciosas intestinales;Mujeres;Suecia;0
001 Enfermedades infecciosas intestinales;Mujeres;Resto de la UE-27;0
001 Enfermedades infecciosas intestinales;Mujeres;Noruega;0
001 Enfermedades infecciosas intestinales;Mujeres;Rusia;0
001 Enfermedades infecciosas intestinales;Mujeres;Suiza;0
001 Enfermedades infecciosas intestinales;Mujeres;Ucrania;0
001 Enfermedades infecciosas intestinales;Mujeres;Resto de EUROPA;0
001 Enfermedades infecciosas intestinales;Mujeres;PAÍSES DE ÁFRICA;1
001 Enfermedades infecciosas intestinales;Mujeres;Argelia;0
001 Enfermedades infecciosas intestinales;Mujeres;Marruecos;1
001 Enfermedades infecciosas intestinales;Mujeres;Resto de ÁFRICA;0
001 Enfermedades infecciosas intestinales;Mujeres;PAÍSES DE AMÉRICA;0
001 Enfermedades infecciosas intestinales;Mujeres;Argentina;0
001 Enfermedades infecciosas intestinales;Mujeres;Bolivia;0
